Song_ID,Song_Title,Song_Lyrics
1,I Saw Her Standing There,Yes
2,Misery,Yes
3,Anna (Go to Him),Yes
4,Chains,Yes
5,Boys,Yes
6,Ask Me Why,Yes
7,Please Please Me,Yes
8,Love Me Do,Yes
9,P.S. I Love You,Yes
10,Baby It's You,Yes
11,Do You Want to Know a Secret,Yes
12,A Taste of Honey,Yes
13,There's a Place,Yes
14,Twist and Shout,Yes
15,A Hard Day's Night,Yes
16,Tell Me Why,Yes
17,I'll Cry Instead,Yes
18,I Should Have Known Better,No
19,I'm Happy Just to Dance with You,Yes
20,And I Love Her,No
21,I Should Have Known Better,Yes
22,If I Fell,Yes
23,And I Love Her,Yes
24,Ringo's Theme (This Boy),No
25,Can't Buy Me Love,Yes
26,A Hard Day's Night,No
27,Help!,Yes
28,The Night Before,Yes
29,You've Got to Hide Your Love Away,Yes
30,I Need You,Yes
31,Another Girl,Yes
32,You're Going to Lose That Girl,Yes
33,Ticket to Ride,Yes
34,Act Naturally,Yes
35,It's Only Love,Yes
36,You Like Me Too Much,Yes
37,Tell Me What You See,Yes
38,I've Just Seen a Face,Yes
39,Yesterday,Yes
40,Dizzy Miss Lizzy,Yes
41,Taxman,Yes
42,Eleanor Rigby,Yes
43,I'm Only Sleeping,Yes
44,Love You To,Yes
45,"Here, There and Everywhere",Yes
46,Yellow Submarine,Yes
47,She Said She Said,Yes
48,Good Day Sunshine,Yes
49,And Your Bird Can Sing,Yes
50,For No One,Yes
51,Doctor Robert,Yes
52,I Want to Tell You,Yes
53,Got to Get You into My Life,Yes
54,Tomorrow Never Knows,Yes
55,Come Together,Yes
56,Something,Yes
57,Maxwell's Silver Hammer,Yes
58,Oh! Darling,Yes
59,Octopus's Garden,Yes
60,I Want You (She's So Heavy),Yes
61,Here Comes the Sun,Yes
62,Because,Yes
63,You Never Give Me Your Money,Yes
64,Sun King,Yes
65,Mean Mr. Mustard,Yes
66,Polythene Pam,Yes
67,She Came in Through the Bathroom Window,Yes
68,Golden Slumbers,Yes
69,Carry That Weight,Yes
70,The End,Yes
71,Her Majesty,Yes
72,Two of Us,Yes
73,Dig a Pony,Yes
74,Across the Universe,Yes
75,I Me Mine,Yes
76,Dig It,Yes
77,Let It Be,Yes
78,Maggie Mae,Yes
79,I've Got a Feeling,Yes
80,One After 909,Yes
81,The Long and Winding Road,Yes
82,For You Blue,Yes
83,Get Back,Yes
